flora_id,common_name,sci_name,family,genus,species_epithet,care_level,watering,origin,description,image_url
"1219","wax begonia","Begonia semperflorens-cultorum 'Harmony Scarlet'","Begoniaceae","Begonia","semperflorens-cultorum","Medium","Average","Japan","The wax begonia (Begonia semperflorens-cultorum 'Harmony Scarlet') is an amazing plant species with remarkable benefits. It's glossy, dark green leaves with red accents are stunning and make for vibrant plant displays. This evergreen variety is tolerant of a wide range of temperatures, and can even bloom continuously throughout the summer. Best of all, the wax begonia is an easy-care option that requires little maintenance! Water in moderation and plant in a bright, well-drained spot and you will be sure to enjoy the flowers' unique beauty over a long season.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1219_begonia_semperflorens-cultorum_harmony_scarlet/og/51577380672_f496c3f7c8_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030642Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=9ed8a173005008f298faf6d5befd87a058bee04c5fbc98096545415cbdd53ea2"
"1081","astilbe","Astilbe 'Flamingo'","Saxifragaceae","Astilbe","'Flamingo'","Medium","Average","Germany","Astilbe 'Flamingo' is a gorgeous garden plant that showcases the best of the astilbe family. Plush foliage with a striking variegated pink and white hue gives this variety a lush, tropical feel. Its delicate, fern-like fronds are a delight to behold from summer through to fall when spires of coral-pink blossoms appear to give your outdoor space a dazzling display. Plus, it's easy to maintain, requiring very little effort in order to keep it looking great. Astilbe 'Flamingo' is the perfect way to bring the beauty of the outdoors into your home.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1081_astilbe_flamingo/og/52275312823_ea22877c28_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030642Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=0ecbd7cd96295ec17cd0f888980d871c7bffb9e3d4c0d64fdfb41757627e4010"
"2994","border forsythia","Forsythia intermedia 'Sunrise'","Oleaceae","Forsythia","intermedia","Medium","Average","China","Border Forsythia is an amazing plant and an ideal addition to any garden. This deciduous shrub is easy to maintain, providing a show of cheery yellow blooms in early spring before most other plants arrive. Its bright yellow flowers burst from bud in late winter to early spring. The foliage is an attractive mix of dark green, which adds to this plant's year round beauty. This hardy shrub is self-seeding, has fragrant blooms, and is both deer resistant and drought tolerant. During summer, tiny rounded green leaves and golden yellow foliage are a sight to behold. Perfect to brighten up the garden and attract wildlife, Border Forsythia deserves to be appreciated for its multi-seasonal color and beauty.","https://s3.us-central-1.wasabisys.com/perenual/species_image/2994_forsythia_intermedia_sunrise/og/4592591556_84b8f7f51b_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030643Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=b9dec8d2d61a097143731c068dff273e881b8f26619e74c5dad8185362de603f"
"1295","cross vine","Bignonia capreolata 'Atrosanguinea'","Bignoniaceae","Bignonia","capreolata","Moderate","Average","United States","Cross vine (Bignonia capreolata 'Atrosanguinea') is an amazing plant species that will really light up your garden. It produces beautiful, reddish-purple flowers in the spring and summer and its glossy, evergreen foliage will definitely draw attention. This species is also resistant to disease and pests, and it's even able to grow in locations with poor soil composition. It also has a unique, climbing growth habit that can be trained to cover trellises or other garden fixtures. Whether its cascading flowers, evergreen foliage, disease resistance, or climbing nature - cross vine is an amazing plant species that will add drama and beauty to your garden.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1295_bignonia_capreolata_atrosanguinea/og/Bignonia_capreolata.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030643Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=b6f193387500889e0ea41455ef86316799dcb1af9ad4d8f4b15c8244005a2286"
"476","fern-leaf yarrow","Achillea filipendulina 'Gold Coin Dwarf'","Asteraceae","Achillea","filipendulina","Easy","Frequent","Central and Eastern Europe","Fern-leaf yarrow (Achillea filipendulina 'Gold Coin Dwarf') is an amazing hardy perennial with striking, fan-shaped foliage. Bright golden-yellow flowers adorn the upright stems from spring to early summer, providing vibrant color to the garden. This sun-loving, drought-tolerant variety requires very little maintenance and will thrive in average-to-poor soil. Its evergreen foliage won't need replacing each year, meaning you can enjoy its unique beauty for years to come. It's the perfect choice for adding texture and interest to low-maintenance garden beds and containers. Fern-leaf yarrow's unique characteristics make it a truly amazing plant.","https://s3.us-central-1.wasabisys.com/perenual/species_image/476_achillea_filipendulina_gold_coin_dwarf/og/2726528020_33fe12b8be_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030643Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=4a4ff0c0f4b2621cca066f961264f6d8d80ab6d2f5dd883c34e7e9afffcec3c8"
"560","Ohio buckeye","Aesculus glabra 'Nana'","Sapindaceae","Aesculus","glabra","Moderate","Average","United States","The Ohio buckeye is an amazing specimen as it is incredibly hardy and resilient. Its branches can reach up to 15 feet high, forming a rounded dome and adding a wonderful vertical element in any garden. Its bright green foliage turns a yellow-orange hue in the fall, giving your landscape a splash of autumnal cheer. Its five petaled flowers, ranging from creamy white to yellow and pink, bloom in mid-summer and its small but toxic nuts form in the late summer to winter. The Ohio Buckeye is an excellent specimen to add to any garden, the small size and adaptability means it is the perfect addition to any urban or rural landscape.","https://s3.us-central-1.wasabisys.com/perenual/species_image/560_aesculus_glabra_nana/og/Fruits_du_marronnier_glabre_28Aesculus_glabra29.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030643Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=23440609fe9c8e216ad0cae333bd69416f96ccadd3c34d42016eadd88a16962d"
"2838","winged spindle tree","Euonymus alatus 'Rudy Haag'","Celastraceae","Euonymus","alatus","","Average","Japan","The winged spindle tree (Euonymus alatus 'Rudy Haag') is a magnificent tree that will not only add beauty to any garden or landscape, but also year-round interest. Its large, dark green leaves turn stunning shades of bright red, yellow and orange in autumn, and cream-colored seed capsules emerge from wings on its stems and branches. In spring, small, white flowers bloom and are followed by brilliant red fruits - a delight for birds. The winged spindle tree is an excellent choice for its tolerance to drought, pollution and heat. Its interesting branching makes it a perfect outdoor focal point to admire and enjoy.","https://s3.us-central-1.wasabisys.com/perenual/species_image/2838_euonymus_alatus_rudy_haag/og/51585637749_1e749a2af9_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030644Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=3a136a1f89ad95f133c051fb2a9f96adeba8e880ab245b8bab9945f93e623f0c"
"330","Elizabeth Magnolia","Magnolia 'Elizabeth'","Magnoliaceae","Magnolia","'Elizabeth'","High","Average","China","The Elizabeth Magnolia is a stunning flowering tree that can bring elegance and beauty to any garden. Its large, white, fragrant blooms appear in early spring and light up the landscape with their exceptional charm. The attractive deep green, lustrous leaves turn a beautiful yellow-bronze in the autumn, adding to the tree's seasonal beauty. Growing to a height of up to 30 feet and with a wide, rounded crown, the Elizabeth Magnolia is an amazing species for any garden. Its hardy nature, low maintenance requirements, and exquisite flowers make it an outstanding addition to any landscape.","https://s3.us-central-1.wasabisys.com/perenual/species_image/330_magnolia_elizabeth/og/47030569101_8ff0b0310a_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030644Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=bb19037de345960c1571f5de04843507c8e1f646750a52ae3099b9b6918c739f"
"2745","bishop's hat","Epimedium brevicornu","Berberidaceae","Epimedium","brevicornu","","Average","China","The bishop's hat (Epimedium brevicornu) is an amazing plant species that stands out for its unique form and beautiful array of colors! The small perennial has a low-growing foliage of heart-shaped, dark green leaves. In springtime, its delicate red and white flowers rise up on short stems, resembling the hats of old-fashioned bishops. While its dainty flowers are really special, the colorful foliage of the plant's evergreen leaves make it even more impressive. Plus, it tolerates partial shade and is easy to care for, making it a great choice for gardens of all sizes.","https://s3.us-central-1.wasabisys.com/perenual/species_image/2745_epimedium_brevicornu/og/9227116763_e8c3728d3b_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030644Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=5830e40588154ec28a45585f68d2b25ba33f555ac54ca079ef7928d201cb85cb"
"431","black cat claw","Acacia redolens","Fabaceae","Acacia","redolens","Medium","Average","Western Australia","Black Cat Claw, or Acacia redolens, is an amazing plant species particularly suited to many climates. It is fast-growing and produces beautiful, delicate yellow flowers during its blooming season. Its most unique feature is its long, narrow thorns, which give it its name. The Cat’s Claw thorns also serve a useful purpose, providing protection from injury and animals. The foliage provides a lush green canopy that is sure to please any gardener. This plant is an ideal choice for anyone wanting an attractive and hardy addition to their garden.","https://s3.us-central-1.wasabisys.com/perenual/species_image/431_acacia_redolens/og/40378248193_eb3db1b183_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=cab0fd1973df311aca5588d00aebe06de474d3caca61d67db409fd81a679d2c2"
